week,date,ask,bid
Week 2,21-Jan-05,15678.42857,15873.28571
Week 3,28-Jan-05,15696.57143,15891.42857
Week 4,4-Feb-05,15617.28571,16000.14286
Week 1,11-Feb-05,15513.71429,16084
Week 2,18-Feb-05,15787.42857,15798.85714
Week 3,25-Feb-05,15795.42857,15805.42857
Week 4,4-Mar-05,15191.85714,16292.28571
Week 1,11-Mar-05,15166.57143,16434.57143
Week 2,18-Mar-05,15721.42857,15911.42857
Week 3,25-Mar-05,15822.28571,15838.71429
Week 4,1-Apr-05,15656.42857,16047.57143
Week 1,8-Apr-05,15609.42857,16001.42857
Week 2,15-Apr-05,15824.28571,15844.28571
Week 3,22-Apr-05,15823.85714,15846.71429
Week 4,29-Apr-05,15828.57143,15848.57143
Week 1,6-May-05,15701.14286,16094.42857
Week 2,13-May-05,15449.14286,16223.14286
Week 3,20-May-05,15671.28571,16072.71429
Week 4,27-May-05,15749.57143,15959.85714
Week 1,3-Jun-05,15676.85714,16088.57143
Week 2,10-Jun-05,15863.71429,15885.14286
Week 3,17-Jun-05,15637.57143,16047.71429
Week 4,24-Jun-05,15549.85714,16165.71429
Week 1,1-Jul-05,15745,15967.57143
Week 2,8-Jul-05,15858.57143,15881.42857
Week 3,15-Jul-05,15691,16111.28571
Week 4,22-Jul-05,15597.57143,16209.57143
Week 1,29-Jul-05,15456.14286,16264.85714
Week 2,5-Aug-05,15870.85714,15881.85714
Week 3,12-Aug-05,15864.28571,15871.57143
Week 4,19-Aug-05,15862.42857,15868.14286
Week 1,26-Aug-05,15875.57143,15881.71429
Week 2,2-Sep-05,15875.71429,15882.71429
Week 3,9-Sep-05,15879.71429,15889.85714
Week 4,16-Sep-05,15780.14286,15986.42857
Week 1,23-Sep-05,15876.14286,15886.85714
Week 2,30-Sep-05,15894.14286,15902.28571
Week 3,7-Oct-05,15894.14286,15900
Week 4,14-Oct-05,15903.42857,15909.71429
Week 1,21-Oct-05,15905.71429,15910.42857
Week 2,28-Oct-05,15898.12857,15904.91429
Week 3,4-Nov-05,15891.42857,15896.42857
Week 4,11-Nov-05,15899.85714,15904
Week 1,18-Nov-05,15902.57143,15908.71429
Week 2,25-Nov-05,15879.3,15937.65714
Week 3,2-Dec-05,15901.95714,15904.98571
Week 4,9-Dec-05,15689.44286,16103.84286
Week 1,16-Dec-05,15779.1,16035.37143
Week 2,23-Dec-05,15902.85714,15906
Week 3,30-Dec-05,15894.27143,15915.24286
Week 4,6-Jan-06,15909.81429,15918.14286
Week 1,13-Jan-06,15683.12857,16090.45714
Week 2,20-Jan-06,15696.3,16101.27143
Week 3,27-Jan-06,15732.24286,16139.81429
Week 4,3-Feb-06,15753.58571,16131.94286
Week 1,10-Feb-06,15742.5,16152.22857
Week 2,17-Feb-06,15694.58571,16105.3
Week 3,24-Feb-06,15715.02857,16126.38571
Week 4,3-Mar-06,15697.84286,16106.01429
Week 1,10-Mar-06,15808.77143,16017.05714
Week 2,17-Mar-06,15667.92857,16144.51429
Week 3,24-Mar-06,15501.58571,16292.94286
Week 4,31-Mar-06,15489,16354.51429
Week 1,7-Apr-06,15527.45714,16319.38571
Week 2,14-Apr-06,15317.25714,16557.28571
Week 3,21-Apr-06,15363.84286,16471.4
Week 4,28-Apr-06,15401.74286,16389.97143
Week 1,5-May-06,15605.28571,16332.37143
Week 2,12-May-06,15462.68571,16480.52857
Week 3,19-May-06,15459,16484
Week 4,26-May-06,15499.62857,16517.47143
Week 1,2-Jun-06,15448.5,16392.25714
Week 2,9-Jun-06,15503.6,16484.27143
Week 3,16-Jun-06,15411.9,16577.3
Week 4,23-Jun-06,15318.67143,16671.95714
Week 1,30-Jun-06,15308.1,16645.25714
Week 2,7-Jul-06,15309.74286,16640.81429
Week 3,14-Jul-06,15392.34286,16636.54286
Week 4,21-Jul-06,15392.77143,16611.62857
Week 1,28-Jul-06,15437.58571,16479.18571
Week 2,4-Aug-06,15466.41429,16497.34286
Week 3,11-Aug-06,15481.8,16545.81429
Week 4,18-Aug-06,15470.64286,16563.9
Week 1,25-Aug-06,15528.8,16509.41429
Week 2,1-Sep-06,15436.98571,16593.22857
Week 3,8-Sep-06,15556.3,16543.2
Week 4,15-Sep-06,15617.58571,16476.91429
Week 1,22-Sep-06,15548.5,16557.47143
Week 2,29-Sep-06,15518.44286,16563.58571
Week 3,6-Oct-06,15481.2,16684.47143
Week 4,13-Oct-06,15513.77143,16645.51429
Week 1,20-Oct-06,15528.67143,16610.38571
Week 2,27-Oct-06,15490.38571,16613.54286
Week 3,3-Nov-06,15511.92857,16657.22857
Week 4,10-Nov-06,15687.47143,16505.35714
Week 1,17-Nov-06,15531,16606.77143
Week 2,24-Nov-06,15573.87143,16599.1
Week 3,1-Dec-06,15474.47143,16600.35714
Week 4,8-Dec-06,15573.34286,16608.5
