week,date,ask,bid
Week 4,24Jun2005,15549.85714,16165.71429
Week 1,01Jul2005,15745.00000,15967.57143
Week 2,08Jul2005,15858.57143,15881.42857
Week 3,15Jul2005,15691.00000,16111.28571
Week 4,22Jul2005,15597.57143,16209.57143
Week 1,29Jul2005,15456.14286,16264.85714
Week 2,05Aug2005,15870.85714,15881.85714
Week 3,12Aug2005,15864.28571,15871.57143
Week 4,19Aug2005,15862.42857,15868.14286
Week 1,26Aug2005,15875.57143,15881.71429
Week 2,02Sep2005,15875.71429,15882.71429
Week 3,09Sep2005,15879.71429,15889.85714
Week 4,16Sep2005,15780.14286,15986.42857
Week 1,23Sep2005,15876.14286,15886.85714
Week 2,30Sep2005,15894.14286,15902.28571
Week 3,07Oct2005,15894.14286,15900.00000
Week 4,14Oct2005,15903.42857,15909.71429
Week 1,21Oct2005,15905.71429,15910.42857
Week 2,28Oct2005,15898.12857,15904.91429
Week 3,04Nov2005,15891.42857,15896.42857
Week 4,11Nov2005,15899.85714,15904.00000
Week 1,18Nov2005,15902.57143,15908.71429
Week 2,25Nov2005,15879.30000,15937.65714
Week 3,02Dec2005,15901.95714,15904.98571
Week 4,09Dec2005,15689.44286,16103.84286
Week 1,16Dec2005,15779.10000,16035.37143
Week 2,23Dec2005,15902.85714,15906.00000
Week 3,30Dec2005,15894.27143,15915.24286
Week 4,06Jan2006,15909.81429,15918.14286
Week 1,13Jan2006,15683.12857,16090.45714
Week 2,20Jan2006,15696.30000,16101.27143
Week 3,27Jan2006,15732.24286,16139.81429
Week 4,03Feb2006,15753.58571,16131.94286
Week 1,10Feb2006,15742.50000,16152.22857
Week 2,17Feb2006,15694.58571,16105.30000
Week 3,24Feb2006,15715.02857,16126.38571
Week 4,03Mar2006,15697.84286,16106.01429
Week 1,10Mar2006,15808.77143,16017.05714
Week 2,17Mar2006,15667.92857,16144.51429
Week 3,24Mar2006,15501.58571,16292.94286
Week 4,31Mar2006,15489.00000,16354.51429
Week 1,07Apr2006,15527.45714,16319.38571
Week 2,14Apr2006,15317.25714,16557.28571
Week 3,21Apr2006,15363.84286,16471.40000
Week 4,28Apr2006,15401.74286,16389.97143
Week 1,05May2006,15605.28571,16332.37143
Week 2,12May2006,15462.68571,16480.52857
Week 3,19May2006,15459.00000,16484.00000
Week 4,26May2006,15499.62857,16517.47143
Week 1,02Jun2006,15448.50000,16392.25714
Week 2,09Jun2006,15503.60000,16484.27143
Week 3,16Jun2006,15411.90000,16577.30000
Week 4,23Jun2006,15318.67143,16671.95714
Week 1,30Jun2006,15308.10000,16645.25714
Week 2,07Jul2006,15309.74286,16640.81429
Week 3,14Jul2006,15392.34286,16636.54286
Week 4,21Jul2006,15392.77143,16611.62857
Week 1,28Jul2006,15437.58571,16479.18571
Week 2,04Aug2006,15466.41429,16497.34286
Week 3,11Aug2006,15481.80000,16545.81429
Week 4,18Aug2006,15470.64286,16563.90000
Week 1,25Aug2006,15528.80000,16509.41429
Week 2,01Sep2006,15436.98571,16593.22857
Week 3,08Sep2006,15556.30000,16543.20000
Week 4,15Sep2006,15617.58571,16476.91429
Week 1,22Sep2006,15548.50000,16557.47143
Week 2,29Sep2006,15518.44286,16563.58571
Week 3,06Oct2006,15481.20000,16684.47143
Week 4,13Oct2006,15513.77143,16645.51429
Week 1,20Oct2006,15528.67143,16610.38571
Week 2,27Oct2006,15490.38571,16613.54286
Week 3,03Nov2006,15511.92857,16657.22857
Week 4,10Nov2006,15687.47143,16505.35714
Week 1,17Nov2006,15531.00000,16606.77143
Week 2,24Nov2006,15573.87143,16599.10000
Week 3,01Dec2006,15474.47143,16600.35714
Week 4,08Dec2006,15573.34286,16608.50000
Week 1,15Dec2006,15646.41429,16506.15714
Week 2,22Dec2006,15559.72857,16638.65714
Week 3,29Dec2006,15511.21429,16585.31429
Week 4,05Jan2007,15702.55714,16401.90000
Week 1,12Jan2007,15458.71429,16624.15714
Week 2,19Jan2007,15573.44286,16555.10000
Week 3,26Jan2007,15600.34286,16513.94286
Week 4,02Feb2007,15502.82857,16588.21429
Week 1,09Feb2007,15487.72857,16477.78571
Week 2,16Feb2007,15430.61429,16529.18571
Week 3,23Feb2007,15466.68571,16465.27143
Week 4,02Mar2007,15581.91429,16452.34286
Week 1,09Mar2007,15503.27143,16531.68571
Week 2,16Mar2007,15506.35714,16528.11429
Week 3,23Mar2007,15620.64286,16419.92857
Week 4,30Mar2007,15528.14286,16521.98571
Week 1,06Apr2007,15456.11429,16544.30000
Week 2,13Apr2007,15573.31429,16513.02857
Week 3,20Apr2007,15558.52857,16527.45714
Week 4,27Apr2007,15627.82857,16486.50000
Week 1,04May2007,15572.67143,16517.45714
Week 2,11May2007,15525.97143,16533.62857
Week 3,18May2007,15474.94286,16634.75714
Week 4,25May2007,15835.82857,16298.84286
Week 1,01Jun2007,15840.32857,16371.21429
Week 2,08Jun2007,15842.44286,16353.85714
Week 3,15Jun2007,15816.78571,16354.37143
Week 4,22Jun2007,15873.87143,16368.65714
Week 1,29Jun2007,15900.61429,16356.90000
Week 2,06Jul2007,15880.84286,16374.07143
Week 3,13Jul2007,15884.08571,16372.95714
Week 4,20Jul2007,15908.77143,16328.98571
Week 1,27Jul2007,15866.70000,16424.08571
Week 2,03Aug2007,15840.77143,16386.81429
Week 3,10Aug2007,15972.30000,16402.15714
Week 4,17Aug2007,15990.51429,16469.25714
Week 1,24Aug2007,15967.54286,16483.98571
Week 2,31Aug2007,15979.34286,16518.32857
Week 3,07Sep2007,15984.10000,16437.35714
Week 4,14Sep2007,16014.61429,16506.57143
Week 1,21Sep2007,15909.67143,16378.32857
Week 2,28Sep2007,15813.42857,16308.54286
Week 3,05Oct2007,15884.51429,16269.22857
Week 4,12Oct2007,15829.21429,16342.04286
Week 1,19Oct2007,15841.75714,16313.64286
Week 2,26Oct2007,15850.91429,16307.72857
Week 3,02Nov2007,15810.88571,16317.71429
Week 4,09Nov2007,15829.51429,16314.40000
Week 1,16Nov2007,15781.41429,16305.08571
Week 2,23Nov2007,15796.47143,16308.08571
Week 3,30Nov2007,15796.08571,16323.42857
Week 4,07Dec2007,15779.44286,16306.60000
Week 1,14Dec2007,15824.40000,16312.50000
Week 2,21Dec2007,15842.38571,16229.42857
Week 3,28Dec2007,15770.62857,16289.54286
Week 4,04Jan2008,15736.48571,16216.34286
Week 1,11Jan2008,15750.12857,16219.01429
Week 2,18Jan2008,15752.42857,16243.01429
Week 3,25Jan2008,15773.10000,16211.95714
Week 4,01Feb2008,15763.35714,16227.64286
Week 1,08Feb2008,15681.88571,16216.20000
Week 2,15Feb2008,15768.41429,16157.14286
Week 3,22Feb2008,15699.48571,16169.84286
Week 4,29Feb2008,15664.72857,16181.78571
Week 1,07Mar2008,15707.72857,16145.34286
Week 2,14Mar2008,15606.24286,16084.14286
Week 3,21Mar2008,15558.50000,15994.68571
Week 4,28Mar2008,15900.18571,16340.32857
Week 1,04Apr2008,15905.35714,16324.17143
Week 2,11Apr2008,15936.61429,16351.37143
Week 3,18Apr2008,15920.90000,16364.97143
Week 4,25Apr2008,15883.10000,16298.77143
Week 1,02May2008,15921.91429,16268.31429
Week 2,09May2008,15910.45714,16345.18571
Week 3,16May2008,15888.00000,16372.90000
Week 4,23May2008,15935.77143,16396.91429
Week 1,30May2008,15983.65714,16478.24286
Week 2,06Jun2008,16008.01429,16511.00000
Week 3,13Jun2008,16300.11429,16844.40000
Week 4,20Jun2008,16322.50000,16872.28571
Week 1,27Jun2008,16474.85714,17067.54286
Week 2,04Jul2008,16567.74286,17151.10000
Week 3,11Jul2008,16544.87143,17082.74286
Week 4,18Jul2008,16497.58571,17051.40000
Week 1,25Jul2008,16511.50000,17130.38571
Week 2,01Aug2008,16459.77143,17088.57143
Week 3,08Aug2008,16347.44286,16908.10000
Week 4,15Aug2008,16336.54286,16918.52857
Week 1,22Aug2008,16322.32857,16882.27143
Week 2,29Aug2008,16266.65714,16871.34286
Week 3,05Sep2008,16280.85714,16880.40000
Week 4,12Sep2008,16292.45714,16858.84286
Week 1,19Sep2008,16305.58571,16857.01429
Week 2,26Sep2008,16327.50000,16880.72857
Week 3,03Oct2008,16370.12857,16952.02857
Week 4,10Oct2008,16333.04286,16921.17143
Week 1,17Oct2008,16368.17143,16967.44286
Week 2,24Oct2008,16494.75714,17126.75714
Week 3,31Oct2008,16554.30000,17154.51429
Week 4,07Nov2008,16651.60000,17264.97143
Week 1,14Nov2008,16680.30000,17279.55714
Week 2,21Nov2008,16702.10000,17303.07143
Week 3,28Nov2008,16727.91429,17334.74286
Week 4,05Dec2008,16646.42857,17276.92857
Week 1,12Dec2008,16661.35714,17289.22857
Week 2,19Dec2008,16731.85714,17339.51429
Week 3,26Dec2008,16886.22857,17488.24286
Week 4,02Jan2009,17150.41429,17786.17143
Week 1,09Jan2009,17196.27143,17795.28571
Week 2,16Jan2009,17130.48571,17780.42857
Week 3,23Jan2009,17075.72857,17713.97143
Week 4,30Jan2009,17151.54286,17794.57143
Week 1,06Feb2009,17075.58571,17712.11429
Week 2,13Feb2009,17095.62857,17719.30000
Week 3,20Feb2009,17016.52857,17624.64286
Week 4,27Feb2009,17067.84286,17662.45714
Week 1,06Mar2009,17086.70000,17696.58571
Week 2,13Mar2009,17028.98571,17637.01429
Week 3,20Mar2009,17109.40000,17710.35714
Week 4,27Mar2009,17416.28571,18015.45714
Week 1,03Apr2009,17389.00000,17986.50000
Week 2,10Apr2009,17531.57143,18137.54286
Week 3,17Apr2009,17415.61429,18027.51429
Week 4,24Apr2009,17425.51429,18030.91429
Week 1,01May2009,17485.37143,18087.85714
Week 2,08May2009,17374.55714,17956.21429
Week 3,15May2009,17393.52857,17968.27143
Week 4,22May2009,17341.98571,17898.41429
Week 1,29May2009,17303.68571,17851.94286
Week 2,05Jun2009,17368.60000,17917.41429
Week 3,12Jun2009,17258.87143,17809.64286
Week 4,19Jun2009,17316.72857,17873.67143
Week 1,26Jun2009,17405.31429,17963.25714
Week 2,03Jul2009,17511.90000,18083.92857
Week 3,10Jul2009,17544.25714,18036.75714
Week 4,17Jul2009,17392.62857,17946.05714
Week 1,24Jul2009,17342.97143,17886.58571
Week 2,31Jul2009,17560.07143,17876.27143
Week 3,07Aug2009,17411.42857,17876.34286
Week 4,14Aug2009,17423.65714,17865.62857
Week 1,21Aug2009,17594.12857,18077.52857
Week 2,28Aug2009,17597.45714,18102.78571
Week 3,04Sep2009,17600.67143,18095.70000
Week 4,11Sep2009,17671.97143,18078.15714
Week 1,18Sep2009,17647.22857,18114.64286
Week 2,25Sep2009,17611.47143,18105.18571
Week 3,02Oct2009,17565.71429,18090.94286
Week 4,09Oct2009,17605.45714,18118.71429
Week 1,16Oct2009,17686.97143,18076.20000
Week 2,23Oct2009,17762.91429,18034.74286
Week 3,30Oct2009,17738.80000,18053.52857
Week 4,06Nov2009,17732.61429,18021.98571
Week 1,13Nov2009,17753.35714,18025.84286
Week 2,20Nov2009,17833.24286,18212.31429
Week 3,27Nov2009,18119.32857,18589.84286
Week 4,04Dec2009,18377.92857,18828.15714
Week 1,11Dec2009,18253.54286,18688.95714
Week 2,18Dec2009,18265.54286,18684.94286
Week 3,25Dec2009,18305.95714,18650.98571
Week 4,01Jan2010,18328.85714,18636.61429
Week 1,08Jan2010,18231.95714,18709.07143
Week 2,15Jan2010,18197.11429,18754.40000
Week 3,22Jan2010,18219.82857,18707.30000
Week 4,29Jan2010,18283.24286,18725.01429
Week 1,05Feb2010,18348.48571,18628.58571
Week 2,12Feb2010,18528.92857,18808.45714
Week 3,19Feb2010,18574.70000,19089.34286
Week 4,26Feb2010,18747.61429,19188.15714
Week 1,05Mar2010,18877.98571,19301.37143
Week 2,12Mar2010,18847.58571,19189.65714
Week 3,19Mar2010,18782.85714,19168.24286
Week 4,26Mar2010,18857.21429,19307.45714
Week 1,02Apr2010,18844.72857,19296.58571
Week 2,09Apr2010,18855.68571,19207.50000
Week 3,16Apr2010,18744.20000,19229.58571
Week 4,23Apr2010,18751.32857,19199.41429
Week 1,30Apr2010,18738.05714,19236.84286
Week 2,07May2010,18770.98571,19306.04286
Week 3,14May2010,18778.37143,19256.48571
Week 4,21May2010,18710.01429,19204.32857
Week 1,28May2010,18750.65714,19209.31429
Week 2,04Jun2010,18787.40000,19360.74286
Week 3,11Jun2010,18761.95714,19219.82857
Week 4,18Jun2010,18758.91429,19215.17143
Week 1,25Jun2010,18757.78571,19216.42857
Week 2,02Jul2010,18784.95714,19299.80000
Week 3,09Jul2010,18783.40000,19406.97143
Week 4,16Jul2010,18964.21429,19234.91429
Week 1,23Jul2010,18928.61429,19302.38571
Week 2,30Jul2010,18882.08571,19269.80000
Week 3,06Aug2010,18854.35714,19245.52857
Week 4,13Aug2010,18906.42857,19384.60000
Week 1,20Aug2010,19207.24286,19769.22857
Week 2,27Aug2010,19208.38571,19719.02857
Week 3,03Sep2010,19273.44286,19674.40000
Week 4,10Sep2010,19304.75714,19675.47143
Week 1,17Sep2010,19297.21429,19730.78571
Week 2,24Sep2010,19271.22857,19676.55714
Week 3,01Oct2010,19274.31429,19691.82857
Week 4,08Oct2010,19331.62857,19652.38571
Week 1,15Oct2010,19259.45714,19742.01429
Week 2,22Oct2010,19252.80000,19640.78571
Week 3,29Oct2010,19311.08571,19668.04286
Week 4,05Nov2010,19375.74286,19606.80000
Week 1,12Nov2010,19310.92857,19687.37143
Week 2,19Nov2010,19409.15714,19596.25714
Week 3,26Nov2010,19375.85714,19633.77143
Week 4,03Dec2010,19343.18571,19609.81429
Week 1,10Dec2010,19365.14286,19624.20000
Week 2,17Dec2010,19365.98571,19729.84286
Week 3,24Dec2010,19360.00000,19635.35714
Week 4,31Dec2010,19384.41429,19664.72857
